id,name,type,period,confidence,notes
70,Melid,city,Chalcolithic–Iron Age,high,Arslantepe; UNESCO WHS
71,Ani,city,Medieval,high,Armenian capital; medieval is in scope; UNESCO WHS
72,Kültepe,city,Bronze Age–Iron Age,high,Kanesh plus Assyrian karum; UNESCO WHS
73,Hasankeyf,city,Roman–Medieval,high,Town through Artuqid/Ayyubid era
74,Karatepe Aslantaş,fortress,Iron Age,high,Neo-Hittite fortress of Azatiwata
75,Kibyra,city,Hellenistic–Roman,high,
76,Priene,city,Archaic–Byzantine,high,
77,Didyma,sanctuary,Archaic–Roman,high,Apollo oracle; no city at site
78,Kaunos,city,Archaic–Byzantine,high,
79,Patara,city,Archaic–Roman,high,
80,Phaselis,city,Archaic–Byzantine,high,
81,Aspendos,city,Classical–Roman,high,
82,Perge,city,Hellenistic–Roman,high,
83,Side,city,Hellenistic–Byzantine,high,
84,Temnos,city,Archaic–Roman,medium,Aeolian city; sparse remains
85,Hattusa,city,Bronze Age,high,Hittite capital; UNESCO WHS
86,Aigai,city,Archaic–Roman,high,
87,Tripolis,city,Hellenistic–Byzantine,high,Tripolis on the Maeander
88,Olba / Uzuncaburc,city,Hellenistic–Byzantine,high,City with temple of Zeus Olbios
89,Olympus,city,Hellenistic–Byzantine,high,Lycian city near Chimera
90,Simena,city,Hellenistic–Byzantine,high,
91,Zeugma,city,Hellenistic–Roman,high,
92,Alacahöyük,city,Chalcolithic–Iron Age,high,Hittite settlement mound
93,Myra,city,Archaic–Byzantine,high,
94,Euromos,city,Archaic–Roman,high,City with Zeus Lepsynos temple
95,Bayraklı Höyüğü,city,Iron Age–Archaic,high,Old Smyrna settlement
96,Eumeneia,city,Hellenistic–Byzantine,high,
97,Panionium,sanctuary,Archaic,high,Ionian League sanctuary
98,Yeşilova Mound,city,Neolithic–Bronze Age,high,First settlement of İzmir plain
99,Lysias,city,Hellenistic–Roman,medium,Rock-cut site near Çal; identification debated
100,Mopsuestia,city,Iron Age–Byzantine,high,Mamistra; Cilicia
101,Gerga,city,Classical–Roman,low,Carian site near Çine; ancient name uncertain
102,Magarsus,city,Classical–Roman,medium,City plus temple of Athena Magarsia
103,Anazarbus,city,Roman–Byzantine,high,Capital of Cilicia Secunda
104,Arycanda,city,Hellenistic–Roman,high,
105,Idebessos,city,Hellenistic–Byzantine,medium,Lycian minor site; necropolis-rich
106,Kitanaura,city,Hellenistic–Byzantine,medium,Lycian/Termessian minor site
107,Amorium,city,Hellenistic–Byzantine,high,Major Byzantine city
108,Tralles,city,Archaic–Byzantine,high,
109,Dara,city,Roman–Byzantine,high,Late Roman frontier city
110,Tuşpa,city,Iron Age,high,Urartian capital; Van citadel
111,Cyme,city,Archaic–Roman,high,
112,Karakabaklı,city,Roman–Byzantine,medium,Cilician rural settlement; Manastır area
113,Notion,city,Archaic–Hellenistic,high,Harbor city of Colophon
114,Orthosia,city,Hellenistic–Roman,low,Several Orthosias exist; coordinates point near Nysa; verify which
115,Perperene,city,Archaic–Roman,medium,Aeolian city; sparse remains
116,Alabanda,city,Archaic–Byzantine,high,
117,Alinda,city,Archaic–Roman,high,
118,Hyllarima,city,Classical–Roman,high,
120,Kastabos,sanctuary,Hellenistic–Roman,low,Sanctuary of Hemithea?; identification debated
121,Kyon,city,Classical–Roman,low,Obscure Carian polis; verify
122,Antiphellus,city,Hellenistic–Roman,high,Kaş
123,Apollonia,city,Hellenistic–Roman,medium,Lycian Apollonia on Çukurbağ peninsula; verify
124,Balbura,city,Hellenistic–Roman,high,
125,Bubon,city,Hellenistic–Roman,high,
126,Kadyanda,city,Archaic–Byzantine,high,
127,Cyaneae,city,Archaic–Byzantine,high,
128,Limyra,city,Archaic–Byzantine,high,
129,Oenoanda,city,Hellenistic–Byzantine,high,Epicurean inscription of Diogenes
130,Telmessos,city,Archaic–Roman,high,Fethiye
131,Adada,city,Hellenistic–Byzantine,high,
132,Antiokheia,city,Hellenistic–Byzantine,high,DUPLICATE of id 35 Antioch of Pisidia; same coordinates
133,Cremna,city,Hellenistic–Roman,high,
134,Selge,city,Archaic–Byzantine,high,
135,Vasada,city,Hellenistic–Byzantine,medium,
136,Alahan Monastery,religious-complex,Byzantine,high,Church complex; Mut
137,Kastabala,city,Hellenistic–Byzantine,high,Hierapolis-Kastabala; Cilicia
138,Soli,city,Iron Age–Roman,high,Soli-Pompeiopolis; Mersin
139,Gökçeseki,monument,Roman–Byzantine,low,Rock-cut tombs near Ermenek; verify identification
140,Isaura,city,Hellenistic–Byzantine,medium,Isaura Palaea; Zengibar castle excavations
141,Herakleia,city,Archaic–Byzantine,high,Herakleia under Latmus
142,Magnesia,city,Hellenistic–Roman,high,Magnesia on the Maeander
143,Syedra,city,Hellenistic–Byzantine,high,
144,Labraunda,sanctuary,Archaic–Roman,high,Sanctuary of Zeus Labraundos
145,Pedasa,city,Archaic–Roman,medium,Lelegian settlement near Bodrum
